iso3,variable,value
ARG,fmi_weighted,0.7
BGD,fmi_weighted,0.39
BRA,fmi_weighted,0.33
CAN,fmi_weighted,0.81
CHL,fmi_weighted,0.66
CHN,fmi_weighted,0.37
FRA,fmi_weighted,0.71
ISL,fmi_weighted,0.9
IND,fmi_weighted,0.46
IDN,fmi_weighted,0.43
JPN,fmi_weighted,0.61
MYS,fmi_weighted,0.48
MEX,fmi_weighted,0.58
MAR,fmi_weighted,0.55
MMR,fmi_weighted,0.21
NZL,fmi_weighted,0.83
NGA,fmi_weighted,0.47
NOR,fmi_weighted,0.88
PER,fmi_weighted,0.63
PHL,fmi_weighted,0.42
RUS,fmi_weighted,0.83
ZAF,fmi_weighted,0.81
KOR,fmi_weighted,0.67
ESP,fmi_weighted,0.68
THA,fmi_weighted,0.26
GBR,fmi_weighted,0.75
USA,fmi_weighted,0.92
VNM,fmi_weighted,0.5
ARG,r_weighted,0.82
BGD,r_weighted,0.35
BRA,r_weighted,0.41
CAN,r_weighted,0.86
CHL,r_weighted,0.76
CHN,r_weighted,0.48
FRA,r_weighted,0.85
ISL,r_weighted,0.94
IND,r_weighted,0.83
IDN,r_weighted,0.56
JPN,r_weighted,0.83
MYS,r_weighted,0.6
MEX,r_weighted,0.76
MAR,r_weighted,0.74
MMR,r_weighted,0.22
NZL,r_weighted,0.84
NGA,r_weighted,0.54
NOR,r_weighted,0.93
PER,r_weighted,0.75
PHL,r_weighted,0.53
RUS,r_weighted,0.92
ZAF,r_weighted,0.85
KOR,r_weighted,0.83
ESP,r_weighted,0.85
THA,r_weighted,0.45
GBR,r_weighted,0.86
USA,r_weighted,0.95
VNM,r_weighted,0.57
ARG,m_weighted,0.65
BGD,m_weighted,0.3
BRA,m_weighted,0.26
CAN,m_weighted,0.74
CHL,m_weighted,0.54
CHN,m_weighted,0.33
FRA,m_weighted,0.71
ISL,m_weighted,0.88
IND,m_weighted,0.24
IDN,m_weighted,0.45
JPN,m_weighted,0.55
MYS,m_weighted,0.42
MEX,m_weighted,0.58
MAR,m_weighted,0.45
MMR,m_weighted,0.12
NZL,m_weighted,0.75
NGA,m_weighted,0.37
NOR,m_weighted,0.84
PER,m_weighted,0.66
PHL,m_weighted,0.26
RUS,m_weighted,0.82
ZAF,m_weighted,0.78
KOR,m_weighted,0.64
ESP,m_weighted,0.63
THA,m_weighted,0.07
GBR,m_weighted,0.68
USA,m_weighted,0.95
VNM,m_weighted,0.49
ARG,e_weighted,0.63
BGD,e_weighted,0.38
BRA,e_weighted,0.29
CAN,e_weighted,0.78
CHL,e_weighted,0.54
CHN,e_weighted,0.34
FRA,e_weighted,0.69
ISL,e_weighted,0.91
IND,e_weighted,0.37
IDN,e_weighted,0.34
JPN,e_weighted,0.43
MYS,e_weighted,0.52
MEX,e_weighted,0.42
MAR,e_weighted,0.43
MMR,e_weighted,0.11
NZL,e_weighted,0.74
NGA,e_weighted,0.43
NOR,e_weighted,0.85
PER,e_weighted,0.57
PHL,e_weighted,0.4
RUS,e_weighted,0.81
ZAF,e_weighted,0.69
KOR,e_weighted,0.55
ESP,e_weighted,0.53
THA,e_weighted,0.15
GBR,e_weighted,0.65
USA,e_weighted,0.87
VNM,e_weighted,0.48
ARG,s_weighted,0.71
BGD,s_weighted,0.51
BRA,s_weighted,0.37
CAN,s_weighted,0.86
CHL,s_weighted,0.81
CHN,s_weighted,0.32
FRA,s_weighted,0.62
ISL,s_weighted,0.88
IND,s_weighted,0.41
IDN,s_weighted,0.36
JPN,s_weighted,0.64
MYS,s_weighted,0.41
MEX,s_weighted,0.56
MAR,s_weighted,0.59
MMR,s_weighted,0.39
NZL,s_weighted,0.99
NGA,s_weighted,0.65
NOR,s_weighted,0.9
PER,s_weighted,0.53
PHL,s_weighted,0.47
RUS,s_weighted,0.79
ZAF,s_weighted,0.93
KOR,s_weighted,0.66
ESP,s_weighted,0.72
THA,s_weighted,0.33
GBR,s_weighted,0.8
USA,s_weighted,0.9
VNM,s_weighted,0.46
ARG,b_weighted,0.64
BGD,b_weighted,0.2
BRA,b_weighted,0.2
CAN,b_weighted,0.61
CHL,b_weighted,0.57
CHN,b_weighted,0.17
FRA,b_weighted,0.64
ISL,b_weighted,0.81
IND,b_weighted,0.64
IDN,b_weighted,0.28
JPN,b_weighted,0.74
MYS,b_weighted,0.42
MEX,b_weighted,0.43
MAR,b_weighted,0.34
MMR,b_weighted,0.09
NZL,b_weighted,0.75
NGA,b_weighted,0.19
NOR,b_weighted,0.84
PER,b_weighted,0.6
PHL,b_weighted,0.14
RUS,b_weighted,0.83
ZAF,b_weighted,0.67
KOR,b_weighted,0.52
ESP,b_weighted,0.65
THA,b_weighted,0.04
GBR,b_weighted,0.65
USA,b_weighted,0.88
VNM,b_weighted,0.39
ARG,fmi_unweighted,0.71
BGD,fmi_unweighted,0.36
BRA,fmi_unweighted,0.32
CAN,fmi_unweighted,0.82
CHL,fmi_unweighted,0.64
CHN,fmi_unweighted,0.35
FRA,fmi_unweighted,0.73
ISL,fmi_unweighted,0.9
IND,fmi_unweighted,0.45
IDN,fmi_unweighted,0.42
JPN,fmi_unweighted,0.63
MYS,fmi_unweighted,0.45
MEX,fmi_unweighted,0.58
MAR,fmi_unweighted,0.54
MMR,fmi_unweighted,0.21
NZL,fmi_unweighted,0.83
NGA,fmi_unweighted,0.48
NOR,fmi_unweighted,0.89
PER,fmi_unweighted,0.62
PHL,fmi_unweighted,0.4
RUS,fmi_unweighted,0.84
ZAF,fmi_unweighted,0.8
KOR,fmi_unweighted,0.68
ESP,fmi_unweighted,0.71
THA,fmi_unweighted,0.23
GBR,fmi_unweighted,0.76
USA,fmi_unweighted,0.92
VNM,fmi_unweighted,0.5
ARG,r_unweighted,0.83
BGD,r_unweighted,0.33
BRA,r_unweighted,0.4
CAN,r_unweighted,0.87
CHL,r_unweighted,0.74
CHN,r_unweighted,0.47
FRA,r_unweighted,0.86
ISL,r_unweighted,0.94
IND,r_unweighted,0.82
IDN,r_unweighted,0.55
JPN,r_unweighted,0.84
MYS,r_unweighted,0.57
MEX,r_unweighted,0.75
MAR,r_unweighted,0.76
MMR,r_unweighted,0.2
NZL,r_unweighted,0.86
NGA,r_unweighted,0.53
NOR,r_unweighted,0.93
PER,r_unweighted,0.75
PHL,r_unweighted,0.52
RUS,r_unweighted,0.92
ZAF,r_unweighted,0.84
KOR,r_unweighted,0.83
ESP,r_unweighted,0.86
THA,r_unweighted,0.39
GBR,r_unweighted,0.87
USA,r_unweighted,0.95
VNM,r_unweighted,0.56
ARG,m_unweighted,0.66
BGD,m_unweighted,0.28
BRA,m_unweighted,0.25
CAN,m_unweighted,0.75
CHL,m_unweighted,0.53
CHN,m_unweighted,0.31
FRA,m_unweighted,0.73
ISL,m_unweighted,0.88
IND,m_unweighted,0.22
IDN,m_unweighted,0.45
JPN,m_unweighted,0.57
MYS,m_unweighted,0.36
MEX,m_unweighted,0.58
MAR,m_unweighted,0.45
MMR,m_unweighted,0.12
NZL,m_unweighted,0.77
NGA,m_unweighted,0.4
NOR,m_unweighted,0.86
PER,m_unweighted,0.64
PHL,m_unweighted,0.26
RUS,m_unweighted,0.83
ZAF,m_unweighted,0.77
KOR,m_unweighted,0.66
ESP,m_unweighted,0.64
THA,m_unweighted,0.07
GBR,m_unweighted,0.7
USA,m_unweighted,0.95
VNM,m_unweighted,0.47
ARG,e_unweighted,0.64
BGD,e_unweighted,0.35
BRA,e_unweighted,0.28
CAN,e_unweighted,0.8
CHL,e_unweighted,0.5
CHN,e_unweighted,0.31
FRA,e_unweighted,0.69
ISL,e_unweighted,0.9
IND,e_unweighted,0.34
IDN,e_unweighted,0.34
JPN,e_unweighted,0.44
MYS,e_unweighted,0.46
MEX,e_unweighted,0.41
MAR,e_unweighted,0.42
MMR,e_unweighted,0.11
NZL,e_unweighted,0.73
NGA,e_unweighted,0.45
NOR,e_unweighted,0.85
PER,e_unweighted,0.56
PHL,e_unweighted,0.4
RUS,e_unweighted,0.8
ZAF,e_unweighted,0.68
KOR,e_unweighted,0.57
ESP,e_unweighted,0.58
THA,e_unweighted,0.15
GBR,e_unweighted,0.66
USA,e_unweighted,0.87
VNM,e_unweighted,0.48
ARG,s_unweighted,0.72
BGD,s_unweighted,0.49
BRA,s_unweighted,0.36
CAN,s_unweighted,0.87
CHL,s_unweighted,0.79
CHN,s_unweighted,0.31
FRA,s_unweighted,0.65
ISL,s_unweighted,0.87
IND,s_unweighted,0.42
IDN,s_unweighted,0.36
JPN,s_unweighted,0.65
MYS,s_unweighted,0.39
MEX,s_unweighted,0.57
MAR,s_unweighted,0.53
MMR,s_unweighted,0.39
NZL,s_unweighted,0.98
NGA,s_unweighted,0.64
NOR,s_unweighted,0.9
PER,s_unweighted,0.53
PHL,s_unweighted,0.44
RUS,s_unweighted,0.81
ZAF,s_unweighted,0.92
KOR,s_unweighted,0.65
ESP,s_unweighted,0.75
THA,s_unweighted,0.32
GBR,s_unweighted,0.8
USA,s_unweighted,0.9
VNM,s_unweighted,0.47
ARG,b_unweighted,0.65
BGD,b_unweighted,0.2
BRA,b_unweighted,0.2
CAN,b_unweighted,0.64
CHL,b_unweighted,0.54
CHN,b_unweighted,0.17
FRA,b_unweighted,0.65
ISL,b_unweighted,0.79
IND,b_unweighted,0.65
IDN,b_unweighted,0.28
JPN,b_unweighted,0.74
MYS,b_unweighted,0.38
MEX,b_unweighted,0.42
MAR,b_unweighted,0.35
MMR,b_unweighted,0.09
NZL,b_unweighted,0.75
NGA,b_unweighted,0.21
NOR,b_unweighted,0.84
PER,b_unweighted,0.58
PHL,b_unweighted,0.15
RUS,b_unweighted,0.84
ZAF,b_unweighted,0.66
KOR,b_unweighted,0.54
ESP,b_unweighted,0.68
THA,b_unweighted,0.05
GBR,b_unweighted,0.67
USA,b_unweighted,0.89
VNM,b_unweighted,0.38
EU,b_unweighted,0.6666666666666667
EU,b_weighted,0.6466666666666667
EU,e_unweighted,0.6433333333333333
EU,e_weighted,0.6233333333333333
EU,fmi_unweighted,0.7333333333333333
EU,fmi_weighted,0.7133333333333334
EU,m_unweighted,0.69
EU,m_weighted,0.6733333333333333
EU,r_unweighted,0.8633333333333333
EU,r_weighted,0.8533333333333333
EU,s_unweighted,0.7333333333333334
EU,s_weighted,0.7133333333333334
