description,affected,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
Overfished - Median BvBmsy < 1 (RAM stocks only),FALSE,4019461853.834951,1001505364.6141592,1460074224.3237567,723593387.1671147,2204509344.6793256,780092808.0922666,1295564983.0214972,3698798472.505373,1199072513.472114,5639533093.825213,188261345.79156804,1088606551.5289173,2680201.268556463
Overfished - Median BvBmsy < 1 (RAM stocks only),TRUE,1392619034.644821,266185167.4806958,329729674.70105666,218602859.18548775,417768034.8852633,300377589.35287213,213007107.48453814,733427372.5391258,197086473.717886,1484392316.7317445,239556516.30042642,295748619.5809712,73381.28460353616
Overfished - Weighted Mean BvBmsy < 1 (RAM stocks only),FALSE,4037960758.409591,1029203952.5220988,1527102017.814087,717054321.7129004,2194331852.2287574,792946448.0409801,1263958215.12586,3747274316.0898705,1221708499.0637608,5620958846.1935,180013420.80041993,1094830232.0636108,2680003.02137332
Overfished - Weighted Mean BvBmsy < 1 (RAM stocks only),TRUE,1374120130.0701804,238486579.57275623,262701881.21072653,225141924.63970205,427945527.3358315,287523949.4041586,244613875.38017553,684951528.9546282,174450488.12623924,1502966564.3634584,247804441.29157454,289524939.04627776,73579.53178667945
Overfished - Median BvBmsy < 0.8 (RAM stocks only),FALSE,4955622843.912914,1181770353.2755206,1647383436.2375832,884591764.8479346,2504129065.053109,927482926.0486618,1449988554.854787,4200243570.1973577,1326046158.0257037,6638954063.515322,240612329.25703707,1297343445.8677292,2717655.8300749487
Overfished - Median BvBmsy < 0.8 (RAM stocks only),TRUE,456458044.56685764,85920178.81933436,142420462.78723013,57604481.50466794,118148314.51147959,152987471.3964769,58583535.65124844,231982274.8471411,70112829.1642963,484971347.04163635,187205532.8349574,87011725.24215937,35926.72308505074
Overfished - Weighted Mean BvBmsy < 0.8 (RAM stocks only),FALSE,4853842287.249365,1162717469.0810845,1619581205.1836815,855573450.038758,2432471114.258016,861266815.152381,1456125355.9074862,4149854082.19349,1291967413.5662887,6403555845.741562,205552438.92038378,1249020508.0742333,2716127.991641514
Overfished - Weighted Mean BvBmsy < 0.8 (RAM stocks only),TRUE,558238601.2304066,104973063.01377054,170222693.84113187,86622796.31384441,189806265.30657262,219203582.29275775,52446734.59854927,282371762.8510085,104191573.62371144,720369564.8153955,222265423.17161068,135334663.0356551,37454.56151848542
Overfished - Median BvBmsy < 1 (All Costello et al. 2016 stocks),FALSE,2190117093.265905,263722116.42575642,429481733.05337745,369260312.73912275,1328743392.3335721,156433315.53217897,409625207.1043958,1952252065.970852,467978183.11935407,3043991815.7931113,66068746.22604382,741158283.9240485,6581.454082176703
Overfished - Median BvBmsy < 1 (All Costello et al. 2016 stocks),TRUE,3221963795.2138667,1003968415.6690986,1360322165.9714358,572935933.6134797,1293533987.2310166,924037081.9129598,1098946883.4016397,2479973779.0736465,928180804.0706459,4079933594.7638464,361749115.86595064,643196887.18584,2747001.0990778226
Overfished - Weighted Mean BvBmsy < 1 (All Costello et al. 2016 stocks),FALSE,3674144180.730106,781163558.8554059,941653711.2805055,555821228.7150635,2000537413.2963028,502886856.08075786,921491936.1276904,2976443277.2792945,729369558.4053503,4884068276.508525,144745916.2675189,996076511.6415318,1414854.3397025592
Overfished - Weighted Mean BvBmsy < 1 (All Costello et al. 2016 stocks),TRUE,1737936707.749666,486526973.2394491,848150187.7443078,386375017.6375391,621739966.2682861,577583541.3643808,587080154.378345,1455782567.7652042,666789428.7846497,2239857134.048433,283071945.8244756,388278659.4683567,1338728.2134574403
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,3961986956.0505314,924746847.810224,1245749153.7913072,714987015.4436998,2007942309.4536364,719756553.7208148,1123572784.6473382,3717123748.406535,1107198208.9149666,5131573627.792958,205534375.0089528,1032581437.3848283,1876869.3839195112
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,1450093932.4292402,342943684.284631,544054745.2335061,227209230.90890267,614335070.1109525,360713843.72432387,384999305.8586974,715102096.6379633,288960778.27503353,1992351782.7639992,222283487.08304167,351773733.7250602,876713.169240488
Overfished - Weighted Mean BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,4372090934.380251,943887400.9824013,1383331376.9692936,723986176.7914528,2164297730.5915375,710705244.5628511,1355813729.176211,3665959729.5694547,1115988982.0605466,5524010763.1571245,178173255.2357134,1066670243.1132015,1955882.3009629038
Overfished - Weighted Mean BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,1039989954.0995206,323803131.1124538,406472522.0555199,218210069.56114975,457979648.97305155,369765152.8822876,152758361.3298244,766266115.4750439,280170005.12945336,1599914647.3998327,249644606.85628107,317684927.99668694,797700.2521970953
