"","Id","Name","Category","Region","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)"
"1","Ambitious Reform","All subsidies","Ambitious Reform","Atlantic Ocean",6.34,-2.3,-8.13,-0.3
"2","RD/TN/RL/87","IUU (Option A)","IUU","Atlantic Ocean",0.01,0,-0.02,0
"3","RD/TN/RL/104","IUU (Option B)","IUU","Atlantic Ocean",0.01,0,-0.02,0
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Atlantic Ocean",0.01,0,-0.01,0
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Atlantic Ocean",0.01,0,-0.02,0
"6","RD/TN/RL/81","CAP - De minimis","OFOC","Atlantic Ocean",0.25,-0.08,-0.33,-0.01
"7","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC","Atlantic Ocean",2.12,-0.77,-2.83,-0.1
"8","TN/RL/GEN/199","CAP - Optional criteria","OFOC","Atlantic Ocean",0.71,-0.23,-0.93,-0.03
"9","RD/TN/RL/91","OFOC - ABNJ","OFOC","Atlantic Ocean",3.42,-1.25,-4.51,-0.16
"10","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC","Atlantic Ocean",1.46,-0.53,-1.96,-0.07
"11","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC","Atlantic Ocean",2.96,-0.99,-3.84,-0.13
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC","Atlantic Ocean",5.25,-1.89,-6.79,-0.25
"13","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC","Atlantic Ocean",2.12,-0.77,-2.83,-0.1
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Atlantic Ocean",2.41,-0.88,-3.21,-0.11
"15","RD/TN/RL/124","CAP - Formula","OFOC","Atlantic Ocean",3.52,-1.19,-4.56,-0.16
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Atlantic Ocean",3.4,-1.15,-4.4,-0.15
"17","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Atlantic Ocean",0.96,-0.33,-1.28,-0.04
"18","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Atlantic Ocean",0.75,-0.26,-1,-0.03
"19","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Atlantic Ocean",2.12,-0.77,-2.83,-0.1
"20","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Atlantic Ocean",0.96,-0.33,-1.28,-0.04
"21","TN/RL/GEN/202","Disputed waters","Other & Multiple","Atlantic Ocean",0.04,-0.02,-0.05,0
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Atlantic Ocean",4.8,-1.76,-6.26,-0.23
"23","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Atlantic Ocean",4.03,-1.48,-5.3,-0.19
"24","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Atlantic Ocean",3.11,-1.14,-4.11,-0.15
"25","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Atlantic Ocean",3.08,-1.12,-4.07,-0.15
"26","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Atlantic Ocean",4.62,-1.6,-5.94,-0.21
"27","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Atlantic Ocean",4.61,-1.6,-5.93,-0.21
"28","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Atlantic Ocean",5.5,-1.95,-7.06,-0.26
"29","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Atlantic Ocean",5.5,-1.95,-7.06,-0.26
"30","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Atlantic Ocean",4.62,-1.6,-5.94,-0.21
"31","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Atlantic Ocean",4.61,-1.6,-5.93,-0.21
"32","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Atlantic Ocean",5.69,-2.01,-7.29,-0.27
"33","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Atlantic Ocean",5.68,-2.01,-7.28,-0.27
"34","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Atlantic Ocean",3.08,-1.12,-4.07,-0.15
"35","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Atlantic Ocean",2.04,-0.74,-2.72,-0.1
"36","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Atlantic Ocean",3.08,-1.12,-4.07,-0.15
"37","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Atlantic Ocean",3.83,-1.39,-5.03,-0.18
"38","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Atlantic Ocean",5.97,-2.15,-7.66,-0.28
"39","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Atlantic Ocean",0.9,-0.31,-1.21,-0.04
"40","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Atlantic Ocean",3.3,-1.2,-4.36,-0.16
"41","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Atlantic Ocean",5.97,-2.15,-7.66,-0.28
"42","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Atlantic Ocean",2.69,-0.98,-3.57,-0.13
"43","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Atlantic Ocean",3.34,-1.21,-4.4,-0.16
"44","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Atlantic Ocean",2.88,-1.05,-3.82,-0.14
"45","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Atlantic Ocean",2.38,-0.87,-3.17,-0.11
"46","Ambitious Reform","All subsidies","Ambitious Reform","Indian Ocean",6.83,1.08,-5.39,0.14
"47","RD/TN/RL/87","IUU (Option A)","IUU","Indian Ocean",0,0,0,0
"48","RD/TN/RL/104","IUU (Option B)","IUU","Indian Ocean",0,0,0,0
"49","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Indian Ocean",0,0,0,0
"50","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Indian Ocean",0,0,0,0
"51","RD/TN/RL/81","CAP - De minimis","OFOC","Indian Ocean",0.06,0.01,-0.05,0
"52","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC","Indian Ocean",0,0,0,0
"53","TN/RL/GEN/199","CAP - Optional criteria","OFOC","Indian Ocean",1.05,0.19,-0.84,0.03
"54","RD/TN/RL/91","OFOC - ABNJ","OFOC","Indian Ocean",8.37,-5.47,-12.77,-0.73
"55","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC","Indian Ocean",1.94,-2.92,-4.77,-0.39
"56","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC","Indian Ocean",3.36,0.58,-2.68,0.08
"57","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC","Indian Ocean",5.85,-0.15,-5.67,-0.02
"58","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC","Indian Ocean",0,0,0,0
"59","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Indian Ocean",8.3,-5.45,-12.7,-0.73
"60","RD/TN/RL/124","CAP - Formula","OFOC","Indian Ocean",4.51,0.76,-3.59,0.1
"61","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Indian Ocean",4.39,0.74,-3.49,0.1
"62","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Indian Ocean",0,0,0,0
"63","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Indian Ocean",0,0,0,0
"64","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Indian Ocean",0,0,0,0
"65","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Indian Ocean",0,0,0,0
"66","TN/RL/GEN/202","Disputed waters","Other & Multiple","Indian Ocean",0,0,0,0
"67","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Indian Ocean",6.4,1.02,-5.06,0.13
"68","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Indian Ocean",5.97,0.07,-5.57,0.01
"69","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83
"70","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83
"71","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Indian Ocean",3.71,0.64,-2.96,0.08
"72","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Indian Ocean",3.71,0.64,-2.96,0.08
"73","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Indian Ocean",4.98,0.83,-3.96,0.11
"74","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Indian Ocean",4.98,0.83,-3.96,0.11
"75","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Indian Ocean",3.47,0.6,-2.78,0.08
"76","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Indian Ocean",3.47,0.6,-2.78,0.08
"77","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Indian Ocean",5.71,0.93,-4.52,0.12
"78","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Indian Ocean",5.71,0.93,-4.52,0.12
"79","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83
"80","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Indian Ocean",0.2,0.04,-0.16,0
"81","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83
"82","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Indian Ocean",5.97,0.07,-5.57,0.01
"83","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Indian Ocean",5.4,0.89,-4.28,0.12
"84","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Indian Ocean",0,0,0,0
"85","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Indian Ocean",3.38,-9.93,-12.87,-1.35
"86","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Indian Ocean",5.4,0.89,-4.28,0.12
"87","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Indian Ocean",8.29,-9.09,-16.05,-1.24
"88","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Indian Ocean",3.38,-9.96,-12.91,-1.36
"89","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Indian Ocean",3.38,-9.96,-12.91,-1.36
"90","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Indian Ocean",8.3,-5.45,-12.7,-0.73
"91","Ambitious Reform","All subsidies","Ambitious Reform","Pacific Ocean",19.26,6.65,-10.58,0.84
"92","RD/TN/RL/87","IUU (Option A)","IUU","Pacific Ocean",0,0,0,0
"93","RD/TN/RL/104","IUU (Option B)","IUU","Pacific Ocean",0,0,0,0
"94","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Pacific Ocean",0,0,0,0
"95","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Pacific Ocean",0,0,0,0
"96","RD/TN/RL/81","CAP - De minimis","OFOC","Pacific Ocean",0.48,0.19,-0.28,0.03
"97","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC","Pacific Ocean",1.89,0.73,-1.14,0.09
"98","TN/RL/GEN/199","CAP - Optional criteria","OFOC","Pacific Ocean",1.79,0.72,-1.05,0.09
"99","RD/TN/RL/91","OFOC - ABNJ","OFOC","Pacific Ocean",5.03,1.93,-2.95,0.25
"100","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC","Pacific Ocean",8.41,3.2,-4.81,0.41
"101","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC","Pacific Ocean",9.73,3.66,-5.53,0.47
"102","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC","Pacific Ocean",11.26,4.17,-6.37,0.53
"103","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC","Pacific Ocean",1.89,0.73,-1.14,0.09
"104","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Pacific Ocean",3.93,1.5,-2.34,0.19
"105","RD/TN/RL/124","CAP - Formula","OFOC","Pacific Ocean",11.04,4.11,-6.25,0.53
"106","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Pacific Ocean",10.4,3.89,-5.9,0.5
"107","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Pacific Ocean",0.06,0.02,-0.04,0
"108","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Pacific Ocean",0.04,0.01,-0.02,0
"109","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Pacific Ocean",1.89,0.73,-1.14,0.09
"110","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Pacific Ocean",0.06,0.02,-0.04,0
"111","TN/RL/GEN/202","Disputed waters","Other & Multiple","Pacific Ocean",0,0,0,0
"112","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Pacific Ocean",17.77,6.22,-9.81,0.79
"113","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Pacific Ocean",9.75,3.64,-5.56,0.47
"114","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Pacific Ocean",4.42,1.69,-2.61,0.22
"115","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Pacific Ocean",4.43,1.7,-2.62,0.22
"116","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Pacific Ocean",6.93,2.67,-3.98,0.34
"117","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Pacific Ocean",6.91,2.67,-3.97,0.34
"118","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Pacific Ocean",10.08,3.78,-5.72,0.49
"119","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Pacific Ocean",10.06,3.77,-5.71,0.48
"120","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Pacific Ocean",6.36,2.46,-3.66,0.32
"121","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Pacific Ocean",6.33,2.45,-3.65,0.32
"122","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Pacific Ocean",10.95,4.07,-6.2,0.52
"123","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Pacific Ocean",10.95,4.07,-6.2,0.52
"124","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Pacific Ocean",4.41,1.69,-2.61,0.22
"125","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Pacific Ocean",1.23,0.49,-0.73,0.06
"126","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Pacific Ocean",4.43,1.7,-2.62,0.22
"127","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Pacific Ocean",9.74,3.64,-5.55,0.47
"128","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Pacific Ocean",13.16,4.8,-7.39,0.61
"129","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Pacific Ocean",0.06,0.02,-0.04,0
"130","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Pacific Ocean",14.94,5.36,-8.34,0.68
"131","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Pacific Ocean",13.16,4.8,-7.39,0.61
"132","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Pacific Ocean",4.13,1.58,-2.45,0.2
"133","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Pacific Ocean",15.01,5.38,-8.38,0.69
"134","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Pacific Ocean",15.01,5.38,-8.38,0.69
"135","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Pacific Ocean",3.93,1.5,-2.34,0.19
